Lista de Eventos - A MOSTRAR 200 REGISTOS
Tipo;"Data";"Fonte";"Categoria";"ID do Evento";"Utilizador";"Computador"
Informação;"2025-03-19 09:23:44";"Microsoft-Windows-WLAN-AutoConfig";"0 - (0)";"4000";"AUTORIDADE NT\SISTEMA";"BYOD-EDUARDO";"Serviço de Configuração Automática de WLAN iniciado com êxito.

"
Informação;"2025-03-19 09:23:43";"Microsoft-Windows-DHCPv6-Client";"Service State Event - (4)";"51046";"AUTORIDADE NT\SERVIÇO LOCAL";"BYOD-EDUARDO";"O serviço do cliente DHCPv6 foi iniciado"
Informação;"2025-03-19 09:23:43";"Microsoft-Windows-Dhcp-Client";"Evento do Estado do Serviço - (4)";"50036";"AUTORIDADE NT\SERVIÇO LOCAL";"BYOD-EDUARDO";"O serviço do cliente DHCPv4 foi iniciado"
Informação;"2025-03-19 09:23:43";"Microsoft-Windows-Dhcp-Client";"Evento do Estado do Serviço - (4)";"50103";"AUTORIDADE NT\SERVIÇO LOCAL";"BYOD-EDUARDO";"Cliente DHCPv4 registrado para notificação de desligamento"
Informação;"2025-03-19 09:23:43";"Microsoft-Windows-Dhcp-Client";"Evento do Estado do Serviço - (4)";"50036";"AUTORIDADE NT\SERVIÇO LOCAL";"BYOD-EDUARDO";"O serviço do cliente DHCPv4 foi iniciado"
Informação;"2025-03-19 09:23:42";"Win32k";"0 - (0)";"267";"N/A";"BYOD-EDUARDO";"Êxito na verificação de Controle de Qualidade de Hardware de Toque/Teclado Sensível ao Toque."
Informação;"2025-03-19 09:23:42";"Microsoft-Windows-UserModePowerService";"0 - (10)";"12";"AUTORIDADE NT\SISTEMA";"BYOD-EDUARDO";"O processo C:\Windows\System32\svchost.exe (ID do processo:1612) redefiniu o esquema de política de {381b4222-f694-41f0-9685-ff5bb260df2e} para {381b4222-f694-41f0-9685-ff5bb260df2e}"
Informação;"2025-03-19 09:23:41";"Microsoft-Windows-FilterManager";"0 - (0)";"6";"AUTORIDADE NT\SISTEMA";"BYOD-EDUARDO";"Filtro do Sistema de Arquivos 'bindflt' (10.0, ?2072?-?11?-?08T20:15:04.000000000Z) carregou e registrou com sucesso o Gerenciador de Filtros."
Informação;"2025-03-19 09:23:40";"Microsoft-Windows-FilterManager";"0 - (0)";"6";"AUTORIDADE NT\SISTEMA";"BYOD-EDUARDO";"Filtro do Sistema de Arquivos 'storqosflt' (10.0, ?1990?-?03?-?04T11:18:49.000000000Z) carregou e registrou com sucesso o Gerenciador de Filtros."
Informação;"2025-03-19 09:23:40";"Microsoft-Windows-FilterManager";"0 - (0)";"6";"AUTORIDADE NT\SISTEMA";"BYOD-EDUARDO";"Filtro do Sistema de Arquivos 'CldFlt' (10.0, ?1980?-?07?-?08T02:32:35.000000000Z) carregou e registrou com sucesso o Gerenciador de Filtros."
Informação;"2025-03-19 09:23:40";"Microsoft-Windows-FilterManager";"0 - (0)";"1";"AUTORIDADE NT\SISTEMA";"BYOD-EDUARDO";"Filtro do Sistema de Arquivos 'CldFlt' (Versão 10.0, ?1980?-?07?-?08T02:32:35.000000000Z) descarregado com sucesso."
Informação;"2025-03-19 09:23:40";"Microsoft-Windows-FilterManager";"0 - (0)";"6";"AUTORIDADE NT\SISTEMA";"BYOD-EDUARDO";"Filtro do Sistema de Arquivos 'CldFlt' (10.0, ?1980?-?07?-?08T02:32:35.000000000Z) carregou e registrou com sucesso o Gerenciador de Filtros."
Informação;"2025-03-19 09:23:39";"Microsoft-Windows-FilterManager";"0 - (0)";"6";"AUTORIDADE NT\SISTEMA";"BYOD-EDUARDO";"Filtro do Sistema de Arquivos 'luafv' (10.0, ?1995?-?09?-?15T01:15:24.000000000Z) carregou e registrou com sucesso o Gerenciador de Filtros."
Informação;"2025-03-19 09:23:38";"Microsoft-Windows-FilterManager";"0 - (0)";"6";"AUTORIDADE NT\SISTEMA";"BYOD-EDUARDO";"Filtro do Sistema de Arquivos 'wcifs' (10.0, ?2087?-?12?-?15T06:21:00.000000000Z) carregou e registrou com sucesso o Gerenciador de Filtros."
Informação;"2025-03-19 09:23:37";"Win32k";"0 - (0)";"267";"N/A";"BYOD-EDUARDO";"Êxito na verificação de Controle de Qualidade de Hardware de Toque/Teclado Sensível ao Toque."
Informação;"2025-03-19 09:23:34";"Microsoft-Windows-Directory-Services-SAM";"0 - (0)";"16983";"AUTORIDADE NT\SISTEMA";"BYOD-EDUARDO";"O gerenciador de contas de segurança agora registra eventos resumidos periódicos para clientes remotos que invocam chamadas herdadas do método RPC para alterar ou definir senhas.



Para mais informações, confira https://go.microsoft.com/fwlink/?linkid=2150956.

"
Informação;"2025-03-19 09:23:34";"Microsoft-Windows-Directory-Services-SAM";"0 - (0)";"16977";"AUTORIDADE NT\SISTEMA";"BYOD-EDUARDO";"O domínio tem as seguintes configurações de comprimento mínimo para senha.



MinimumPasswordLength: 0



RelaxMinimumPasswordLengthLimits: 0



MinimumPasswordLengthAudit: -1



Para mais informações, consulte https://go.microsoft.com/fwlink/?LinkId=2097191.

"
Informação;"2025-03-19 09:23:34";"Microsoft-Windows-Directory-Services-SAM";"0 - (0)";"16962";"AUTORIDADE NT\SISTEMA";"BYOD-EDUARDO";"As chamadas remotas ao banco de dados SAM estão sendo restritas usando o descritor de segurança padrão: O:SYG:SYD:(A;;RC;;;BA).

Para obter mais informações, consulte http://go.microsoft.com/fwlink/?LinkId=787651."
Informação;"2025-03-19 09:23:34";"Microsoft-Windows-Wininit";"0 - (0)";"14";"AUTORIDADE NT\SISTEMA";"BYOD-EDUARDO";"Configuração do Credential Guard: 0x0, 0"
Erro;"2025-03-19 09:23:33";"Application Popup";"0 - (0)";"1060";"N/A";"BYOD-EDUARDO"
Aviso;"2025-03-19 09:23:33";"Microsoft-Windows-Kernel-PnP";"0 - (212)";"219";"AUTORIDADE NT\SISTEMA";"BYOD-EDUARDO";"O driver \Driver\ibtavflt falhou ao carregar para o dispositivo BTHENUM\{0000110e-0000-1000-8000-00805f9b34fb}_LOCALMFG&0002\7&2abc69ae&1&FC58FA1FA665_C00000000."
Informação;"2025-03-19 09:23:33";"Application Popup";"0 - (0)";"26";"N/A";"BYOD-EDUARDO"
Erro;"2025-03-19 09:23:33";"Application Popup";"0 - (0)";"1060";"N/A";"BYOD-EDUARDO"
Aviso;"2025-03-19 09:23:33";"Microsoft-Windows-Kernel-PnP";"0 - (212)";"219";"AUTORIDADE NT\SISTEMA";"BYOD-EDUARDO";"O driver \Driver\ibtavflt falhou ao carregar para o dispositivo BTHENUM\{0000110e-0000-1000-8000-00805f9b34fb}_VID&000105d6_PID&000a\7&2abc69ae&1&B5493787B939_C00000000."
Informação;"2025-03-19 09:23:33";"Application Popup";"0 - (0)";"26";"N/A";"BYOD-EDUARDO"
Erro;"2025-03-19 09:23:33";"Application Popup";"0 - (0)";"1060";"N/A";"BYOD-EDUARDO"
Aviso;"2025-03-19 09:23:33";"Microsoft-Windows-Kernel-PnP";"0 - (212)";"219";"AUTORIDADE NT\SISTEMA";"BYOD-EDUARDO";"O driver \Driver\ibtavflt falhou ao carregar para o dispositivo BTHENUM\{0000110e-0000-1000-8000-00805f9b34fb}_VID&00010008_PID&2e81\7&2abc69ae&1&74B05920DD2E_C00000000."
Informação;"2025-03-19 09:23:33";"Application Popup";"0 - (0)";"26";"N/A";"BYOD-EDUARDO"
